feature,category,fraud_rate
card1,15066,0.03939584644430459
card1,15484,0.015661707126076743
card1,15497,0.010812169977369876
card1,15651,0.008397480755773267
card1,15775,0.00998003992015968
card1,15885,0.042853006466557285
card1,15986,0.0146484375
card1,16062,0.14215202369200394
card1,16075,0.04855923159018143
card1,16132,0.01628913209468058
card1,16136,0.03431609473175447
card1,16255,0.013157894736842105
card1,16560,0.0033653846153846156
card1,16659,0.022757697456492636
card1,17055,0.01490757304710793
card1,17131,0.010712035286704474
card1,17188,0.026875483372003094
card1,17399,0.011482254697286013
card1,17400,0.019164955509924708
card1,18018,0.009560229445506692
card1,18132,0.014017581373247802
card1,18249,0.005355776587605203
card1,18268,0.034513274336283185
card2,100.0,0.012813738441215323
card2,103.0,0.09948096885813149
card2,111.0,0.02164147728530017
card2,122.0,0.013497419610956728
card2,127.0,0.02148148148148148
card2,130.0,0.2392571012381646
card2,142.0,0.2403560830860534
card2,158.0,0.047867711053089644
card2,161.0,0.01892120869810788
card2,170.0,0.031294608542879104
card2,174.0,0.02546419098143236
card2,177.0,0.24116930572472595
card2,181.0,0.05558912386706949
card2,194.0,0.007675050183020427
card2,199.0,0.007220216606498195
card2,204.0,0.08750835003340013
card2,206.0,0.005703422053231939
card2,215.0,0.014833127317676144
card2,225.0,0.027400940228341168
card2,250.0,0.019717261904761904
card2,264.0,0.024399126001456665
card2,268.0,0.007372976438531816
card2,269.0,0.03145596165368484
card2,276.0,0.01485148514851485
card2,296.0,0.19197138314785372
card2,298.0,0.023186409550045913
card2,302.0,0.0009302325581395349
card2,310.0,0.023655913978494623
card2,321.0,0.0285276387044038
card2,327.0,0.08862745098039215
card2,343.0,0.021636876763875823
card2,360.0,0.010401579986833442
card2,361.0,0.017247987734764277
card2,369.0,0.003721424774056353
card2,375.0,0.08002923442353371
card2,383.0,0.01594746716697936
card2,390.0,0.014502762430939226
card2,393.0,0.020693222969477496
card2,399.0,0.02841225626740947
card2,404.0,0.06511780104712042
card2,408.0,0.08399900149775337
card2,417.0,0.04230769230769231
card2,418.0,0.014084507042253521
card2,445.0,0.02880658436213992
card2,452.0,0.0089179548156956
card2,453.0,0.06507508663842895
card2,455.0,0.010070493454179255
card2,470.0,0.012214983713355049
card2,476.0,0.007385778083132944
card2,480.0,0.03211009174311927
card2,481.0,0.029356060606060608
card2,490.0,0.024013632192947963
card2,494.0,0.0194515306122449
card2,500.0,0.18057482656095145
card2,512.0,0.019751135690302193
card2,513.0,0.0064516129032258064
card2,514.0,0.04621415308438209
card2,517.0,0.0025929127052722557
card2,532.0,0.01715686274509804
card2,543.0,0.006604292790313704
card2,545.0,0.08682360134515439
card2,548.0,0.0988909426987061
card2,553.0,0.05050038491147036
card2,555.0,0.02283605191094178
card2,558.0,0.0020242914979757085
card2,562.0,0.034345047923322686
card2,567.0,0.016294606485253382
card2,583.0,0.041232857863596754
card4,american express,0.028698366954851104
card4,discover,0.0772816117877011
card4,mastercard,0.03433095334985757
card4,visa,0.03475609914571676
card6,credit,0.06678479857167788
card6,debit,0.024262509717278342
P_email_prov,anonymous,0.02321747121466025
P_email_prov,aol,0.021810597758846195
P_email_prov,att,0.007438631291842301
P_email_prov,bellsouth,0.02776322682032478
P_email_prov,comcast,0.03118661257606491
P_email_prov,cox,0.0208183776022972
P_email_prov,gmail,0.043495549506010464
P_email_prov,hotmail,0.05251603086621019
P_email_prov,icloud,0.03143449816499123
P_email_prov,live,0.03250130005200208
P_email_prov,me,0.017739816031537452
P_email_prov,msn,0.021994134897360705
P_email_prov,optonline,0.016815034619188922
P_email_prov,outlook,0.09739790386700398
P_email_prov,sbcglobal,0.00404040404040404
P_email_prov,unknown,0.02953756246294571
P_email_prov,verizon,0.008133086876155268
P_email_prov,yahoo,0.022544189526669194
P_email_prov,ymail,0.020868113522537562
device_brand,huawei,0.13581780538302277
device_brand,lg,0.10456496293406164
device_brand,mac,0.022110872504573293
device_brand,other,0.03138118202005223
device_brand,samsung,0.08172362555720654
device_brand,windows,0.06553636839351125
device_platform,android/other,0.031380318565202396
device_platform,apple,0.0469464705155149
device_platform,windows,0.06553636839351125
