feature,dtype,missing_share,n_unique
V17,float64,0.1288193856470349,17
V18,float64,0.1288193856470349,17
V19,float64,0.1288193856470349,9
V20,float64,0.1288193856470349,16
V21,float64,0.1288193856470349,7
V22,float64,0.1288193856470349,10
V23,float64,0.1288193856470349,15
V24,float64,0.1288193856470349,15
V25,float64,0.1288193856470349,8
V26,float64,0.1288193856470349,14
V27,float64,0.1288193856470349,5
V28,float64,0.1288193856470349,5
V29,float64,0.1288193856470349,7
V30,float64,0.1288193856470349,9
V31,float64,0.1288193856470349,9
V32,float64,0.1288193856470349,16
V33,float64,0.1288193856470349,8
V34,float64,0.1288193856470349,14
V35,float64,0.2861262573238053,5
V36,float64,0.2861262573238053,7
V37,float64,0.2861262573238053,56
V38,float64,0.2861262573238053,56
V39,float64,0.2861262573238053,17
V40,float64,0.2861262573238053,19
V41,float64,0.2861262573238053,3
V42,float64,0.2861262573238053,10
V43,float64,0.2861262573238053,10
V44,float64,0.2861262573238053,50
V45,float64,0.2861262573238053,50
V46,float64,0.2861262573238053,8
V47,float64,0.2861262573238053,10
V48,float64,0.2861262573238053,7
V49,float64,0.2861262573238053,7
V50,float64,0.2861262573238053,7
V51,float64,0.2861262573238053,8
V52,float64,0.2861262573238053,10
V53,float64,0.13055169844549055,7
V54,float64,0.13055169844549055,8
V55,float64,0.13055169844549055,19
V56,float64,0.13055169844549055,53
V57,float64,0.13055169844549055,8
V58,float64,0.13055169844549055,12
V59,float64,0.13055169844549055,18
V60,float64,0.13055169844549055,18
V61,float64,0.13055169844549055,8
V62,float64,0.13055169844549055,12
V63,float64,0.13055169844549055,9
V64,float64,0.13055169844549055,9
V65,float64,0.13055169844549055,3
V66,float64,0.13055169844549055,9
V67,float64,0.13055169844549055,10
V68,float64,0.13055169844549055,4
V69,float64,0.13055169844549055,7
V70,float64,0.13055169844549055,8
V71,float64,0.13055169844549055,8
V72,float64,0.13055169844549055,12
V73,float64,0.13055169844549055,9
V74,float64,0.13055169844549055,10
V75,float64,0.15098723202492634,6
V76,float64,0.15098723202492634,8
V77,float64,0.15098723202492634,32
V78,float64,0.15098723202492634,33
V79,float64,0.15098723202492634,9
V80,float64,0.15098723202492634,21
V81,float64,0.15098723202492634,21
V82,float64,0.15098723202492634,9
V83,float64,0.15098723202492634,9
V84,float64,0.15098723202492634,9
V85,float64,0.15098723202492634,9
V86,float64,0.15098723202492634,32
V87,float64,0.15098723202492634,32
V88,float64,0.15098723202492634,3
V89,float64,0.15098723202492634,4
V90,float64,0.15098723202492634,7
V91,float64,0.15098723202492634,8
V92,float64,0.15098723202492634,9
V93,float64,0.15098723202492634,9
V94,float64,0.15098723202492634,4
V95,float64,0.0005317167338368274,882
V96,float64,0.0005317167338368274,1411
V97,float64,0.0005317167338368274,977
V98,float64,0.0005317167338368274,14
V99,float64,0.0005317167338368274,90
V100,float64,0.0005317167338368274,30
V101,float64,0.0005317167338368274,871
V102,float64,0.0005317167338368274,1286
V103,float64,0.0005317167338368274,929
V104,float64,0.0005317167338368274,17
V105,float64,0.0005317167338368274,101
V106,float64,0.0005317167338368274,57
V107,float64,0.0005317167338368274,3
V108,float64,0.0005317167338368274,9
V109,float64,0.0005317167338368274,9
V110,float64,0.0005317167338368274,9
V111,float64,0.0005317167338368274,11
V112,float64,0.0005317167338368274,11
V113,float64,0.0005317167338368274,11
V114,float64,0.0005317167338368274,8
V115,float64,0.0005317167338368274,8
V116,float64,0.0005317167338368274,8
V117,float64,0.0005317167338368274,5
V118,float64,0.0005317167338368274,5
V119,float64,0.0005317167338368274,5
V120,float64,0.0005317167338368274,5
V121,float64,0.0005317167338368274,5
V122,float64,0.0005317167338368274,5
V123,float64,0.0005317167338368274,15
V124,float64,0.0005317167338368274,15
V125,float64,0.0005317167338368274,15
V126,float64,0.0005317167338368274,10300
V127,float64,0.0005317167338368274,24415
V128,float64,0.0005317167338368274,14508
V129,float64,0.0005317167338368274,1969
V130,float64,0.0005317167338368274,12333
V131,float64,0.0005317167338368274,4445
V132,float64,0.0005317167338368274,6561
V133,float64,0.0005317167338368274,9950
V134,float64,0.0005317167338368274,8179
V135,float64,0.0005317167338368274,3725
V136,float64,0.0005317167338368274,4853
V137,float64,0.0005317167338368274,4253
V138,float64,0.8612371727571375,24
V139,float64,0.8612371727571375,35
V140,float64,0.8612371727571375,35
V141,float64,0.8612371727571375,7
V142,float64,0.8612371727571375,11
V143,float64,0.8612270125647712,871
V144,float64,0.8612270125647712,64
V145,float64,0.8612270125647712,261
V146,float64,0.8612371727571375,26
V147,float64,0.8612371727571375,28
V148,float64,0.8612371727571375,22
V149,float64,0.8612371727571375,22
V150,float64,0.8612270125647712,1997
V151,float64,0.8612270125647712,57
V152,float64,0.8612270125647712,40
V153,float64,0.8612371727571375,20
V154,float64,0.8612371727571375,20
V155,float64,0.8612371727571375,26
V156,float64,0.8612371727571375,26
V157,float64,0.8612371727571375,26
V158,float64,0.8612371727571375,26
V159,float64,0.8612270125647712,6664
V160,float64,0.8612270125647712,9622
V161,float64,0.8612371727571375,80
V162,float64,0.8612371727571375,186
V163,float64,0.8612371727571375,107
V164,float64,0.8612270125647712,1979
V165,float64,0.8612270125647712,2548
V166,float64,0.8612270125647712,988
V167,float64,0.763553696616656,874
V168,float64,0.763553696616656,966
V169,float64,0.7632353439225116,21
V170,float64,0.7632353439225116,50
V171,float64,0.7632353439225116,63
V172,float64,0.763553696616656,33
V173,float64,0.763553696616656,9
V174,float64,0.7632353439225116,10
V175,float64,0.7632353439225116,16
V176,float64,0.763553696616656,50
V177,float64,0.763553696616656,863
V178,float64,0.763553696616656,1237
V179,float64,0.763553696616656,922
V180,float64,0.7632353439225116,85
V181,float64,0.763553696616656,26
V182,float64,0.763553696616656,85
V183,float64,0.763553696616656,43
V184,float64,0.7632353439225116,18
V185,float64,0.7632353439225116,33
V186,float64,0.763553696616656,40
V187,float64,0.763553696616656,216
V188,float64,0.7632353439225116,32
V189,float64,0.7632353439225116,32
V190,float64,0.763553696616656,44
V191,float64,0.763553696616656,23
V192,float64,0.763553696616656,46
V193,float64,0.763553696616656,39
V194,float64,0.7632353439225116,9
V195,float64,0.7632353439225116,18
V196,float64,0.763553696616656,40
V197,float64,0.7632353439225116,16
V198,float64,0.7632353439225116,23
V199,float64,0.763553696616656,47
V200,float64,0.7632353439225116,47
V201,float64,0.7632353439225116,57
V202,float64,0.763553696616656,10971
V203,float64,0.763553696616656,14952
V204,float64,0.763553696616656,12859
V205,float64,0.763553696616656,2241
V206,float64,0.763553696616656,1781
V207,float64,0.763553696616656,3247
V208,float64,0.7632353439225116,2553
V209,float64,0.7632353439225116,3452
V210,float64,0.7632353439225116,2837
V211,float64,0.763553696616656,7625
V212,float64,0.763553696616656,8869
V213,float64,0.763553696616656,8318
V214,float64,0.763553696616656,2283
V215,float64,0.763553696616656,2748
V216,float64,0.763553696616656,2533
V217,float64,0.7791343516103905,305
V218,float64,0.7791343516103905,402
V219,float64,0.7791343516103905,380
V220,float64,0.7605310393876791,27
V221,float64,0.7605310393876791,78
V222,float64,0.7605310393876791,77
V223,float64,0.7791343516103905,18
V224,float64,0.7791343516103905,80
V225,float64,0.7791343516103905,36
V226,float64,0.7791343516103905,82
V227,float64,0.7605310393876791,51
V228,float64,0.7791343516103905,56
V229,float64,0.7791343516103905,92
V230,float64,0.7791343516103905,67
V231,float64,0.7791343516103905,295
V232,float64,0.7791343516103905,339
V233,float64,0.7791343516103905,334
V234,float64,0.7605310393876791,123
V235,float64,0.7791343516103905,25
V236,float64,0.7791343516103905,47
V237,float64,0.7791343516103905,41
V238,float64,0.7605310393876791,25
V239,float64,0.7605310393876791,25
V240,float64,0.7791343516103905,7
V241,float64,0.7791343516103905,6
V242,float64,0.7791343516103905,22
V243,float64,0.7791343516103905,44
V244,float64,0.7791343516103905,24
V245,float64,0.7605310393876791,59
V246,float64,0.7791343516103905,47
V247,float64,0.7791343516103905,20
V248,float64,0.7791343516103905,24
V249,float64,0.7791343516103905,24
V250,float64,0.7605310393876791,20
V251,float64,0.7605310393876791,20
V252,float64,0.7791343516103905,26
V253,float64,0.7791343516103905,67
V254,float64,0.7791343516103905,46
V255,float64,0.7605310393876791,47
V256,float64,0.7605310393876791,49
V257,float64,0.7791343516103905,50
V258,float64,0.7791343516103905,68
V259,float64,0.7605310393876791,69
V260,float64,0.7791343516103905,10
V261,float64,0.7791343516103905,42
V262,float64,0.7791343516103905,22
V263,float64,0.7791343516103905,10423
V264,float64,0.7791343516103905,13359
V265,float64,0.7791343516103905,11758
V266,float64,0.7791343516103905,2179
V267,float64,0.7791343516103905,3617
V268,float64,0.7791343516103905,2757
V269,float64,0.7791343516103905,152
V270,float64,0.7605310393876791,2341
V271,float64,0.7605310393876791,2788
V272,float64,0.7605310393876791,2508
V273,float64,0.7791343516103905,7178
V274,float64,0.7791343516103905,8316
V275,float64,0.7791343516103905,7777
V276,float64,0.7791343516103905,2264
V277,float64,0.7791343516103905,2541
V278,float64,0.7791343516103905,2399
V279,float64,2.0320384732617603e-05,882
V280,float64,2.0320384732617603e-05,976
V281,float64,0.0021488806854743116,24
V282,float64,0.0021488806854743116,34
V283,float64,0.0021488806854743116,63
V284,float64,2.0320384732617603e-05,14
V285,float64,2.0320384732617603e-05,97
V286,float64,2.0320384732617603e-05,10
V287,float64,2.0320384732617603e-05,33
V288,float64,0.0021488806854743116,12
V289,float64,0.0021488806854743116,14
V290,float64,2.0320384732617603e-05,59
V291,float64,2.0320384732617603e-05,220
V292,float64,2.0320384732617603e-05,174
V293,float64,2.0320384732617603e-05,871
V294,float64,2.0320384732617603e-05,1287
V295,float64,2.0320384732617603e-05,929
V296,float64,0.0021488806854743116,95
V297,float64,2.0320384732617603e-05,14
V298,float64,2.0320384732617603e-05,95
V299,float64,2.0320384732617603e-05,51
V300,float64,0.0021488806854743116,13
V301,float64,0.0021488806854743116,15
V302,float64,2.0320384732617603e-05,18
V303,float64,2.0320384732617603e-05,22
V304,float64,2.0320384732617603e-05,18
V305,float64,2.0320384732617603e-05,3
V306,float64,2.0320384732617603e-05,16211
V307,float64,2.0320384732617603e-05,37368
V308,float64,2.0320384732617603e-05,23065
V309,float64,2.0320384732617603e-05,4237
V310,float64,2.0320384732617603e-05,19137
V311,float64,2.0320384732617603e-05,3099
V312,float64,2.0320384732617603e-05,8069
V313,float64,0.0021488806854743116,5530
V314,float64,0.0021488806854743116,11378
V315,float64,0.0021488806854743116,6974
V316,float64,2.0320384732617603e-05,9815
V317,float64,2.0320384732617603e-05,15185
V318,float64,2.0320384732617603e-05,12310
V319,float64,2.0320384732617603e-05,4800
V320,float64,2.0320384732617603e-05,6440
V321,float64,2.0320384732617603e-05,5561
V322,float64,0.8605496664070174,882
V323,float64,0.8605496664070174,1412
V324,float64,0.8605496664070174,977
V325,float64,0.8605496664070174,14
V326,float64,0.8605496664070174,46
V327,float64,0.8605496664070174,20
V328,float64,0.8605496664070174,17
V329,float64,0.8605496664070174,101
V330,float64,0.8605496664070174,57
V331,float64,0.8605496664070174,1759
V332,float64,0.8605496664070174,2454
V333,float64,0.8605496664070174,1972
V334,float64,0.8605496664070174,144
V335,float64,0.8605496664070174,673
V336,float64,0.8605496664070174,357
V337,float64,0.8605496664070174,255
V338,float64,0.8605496664070174,381
V339,float64,0.8605496664070174,335
id_01,float64,0.7557608290716971,78
id_02,float64,0.7614522301622244,115656
id_03,float64,0.8876892335828225,25
id_04,float64,0.8876892335828225,16
id_05,float64,0.7682375452975243,94
id_06,float64,0.7682375452975243,102
id_07,float64,0.9912707013919464,85
id_08,float64,0.9912707013919464,95
id_09,float64,0.8731229044603245,47
id_10,float64,0.8731229044603245,63
id_11,float64,0.7612727334304196,366
id_12,object,0.7557608290716971,3
id_13,float64,0.7844007179869272,55
id_14,float64,0.8644562603718631,26
id_15,object,0.7612608798726589,4
id_16,object,0.7809801198902699,3
id_17,float64,0.7639973583499847,105
id_18,float64,0.9236072069631185,19
id_19,float64,0.7640837199850984,523
id_20,float64,0.7641802418125783,395
id_21,float64,0.9912639279303688,491
id_22,float64,0.9912469942764249,26
id_23,object,0.9912469942764249,4
id_24,float64,0.9919615944728554,13
id_25,float64,0.9913096487960172,342
id_26,float64,0.9912571544687913,96
id_27,object,0.9912469942764249,3
id_28,object,0.7612727334304196,3
id_29,object,0.7612727334304196,3
id_30,object,0.868654113184543,76
id_31,object,0.7624513157449114,131
id_32,float64,0.8686185525112609,5
id_33,object,0.8758949436109323,261
id_34,object,0.8682477054898906,5
id_35,object,0.7612608798726589,3
id_36,object,0.7612608798726589,3
id_37,object,0.7612608798726589,3
id_38,object,0.7612608798726589,3
DeviceType,object,0.7615572188166763,3
DeviceInfo,object,0.7990551021099332,1787
event_time,datetime64[ns],0.0,573349
